response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0266,0.0020,0.0011,0.0003,0.0238,0.0003,200,0.0077
0.0447,0.0012,0.0005,0.0004,0.0428,0.0001,200,0.0085
0.0634,0.0012,0.0005,0.0004,0.0615,0.0002,200,0.0085
0.0818,0.0017,0.0004,0.0001,0.0798,0.0001,200,0.0086
0.1011,0.0019,0.0005,0.0001,0.0984,0.0002,200,0.0079
0.1187,0.0020,0.0006,0.0004,0.1162,0.0001,200,0.0084
0.1373,0.0019,0.0001,0.0001,0.1352,0.0001,200,0.0084
0.1566,0.0024,0.0005,0.0002,0.1535,0.0002,200,0.0080
0.1756,0.0026,0.0008,0.0002,0.1724,0.0002,200,0.0077
0.1934,0.0017,0.0001,0.0003,0.1909,0.0001,200,0.0085
0.2127,0.0019,0.0006,0.0002,0.2101,0.0001,200,0.0077
0.2303,0.0015,0.0003,0.0002,0.2284,0.0002,200,0.0085
0.2491,0.0017,0.0006,0.0002,0.2469,0.0002,200,0.0082
0.2675,0.0013,0.0003,0.0003,0.2657,0.0001,200,0.0085
0.2864,0.0015,0.0006,0.0003,0.2844,0.0001,200,0.0083
0.3058,0.0017,0.0004,0.0002,0.3032,0.0001,200,0.0078
0.3241,0.0015,0.0004,0.0003,0.3218,0.0001,200,0.0079
0.3426,0.0020,0.0004,0.0001,0.3399,0.0002,200,0.0082
0.3611,0.0020,0.0005,0.0001,0.3585,0.0001,200,0.0079
0.3795,0.0018,0.0007,0.0002,0.3769,0.0001,200,0.0079
0.3718,0.0006,0.0001,0.0001,0.3709,0.0001,200,0.0343
0.3714,0.0005,0.0001,0.0000,0.3706,0.0001,200,0.0532
0.3714,0.0007,0.0002,0.0001,0.3705,0.0002,200,0.0719
0.3715,0.0007,0.0001,0.0001,0.3706,0.0001,200,0.0904
0.3714,0.0006,0.0001,0.0001,0.3705,0.0002,200,0.1090
0.3718,0.0007,0.0001,0.0001,0.3708,0.0001,200,0.1271
0.3718,0.0005,0.0001,0.0001,0.3710,0.0001,200,0.1457
0.3715,0.0006,0.0001,0.0001,0.3706,0.0002,200,0.1645
0.3714,0.0006,0.0001,0.0001,0.3705,0.0002,200,0.1833
0.3715,0.0005,0.0001,0.0001,0.3706,0.0002,200,0.2019
0.3713,0.0005,0.0001,0.0001,0.3705,0.0001,200,0.2204
0.3714,0.0006,0.0001,0.0001,0.3705,0.0002,200,0.2388
0.3713,0.0005,0.0001,0.0001,0.3705,0.0002,200,0.2572
0.3714,0.0006,0.0001,0.0001,0.3705,0.0001,200,0.2760
0.3712,0.0006,0.0001,0.0001,0.3704,0.0001,200,0.2947
0.3710,0.0006,0.0001,0.0001,0.3701,0.0001,200,0.3136
0.3711,0.0006,0.0001,0.0001,0.3703,0.0001,200,0.3321
0.3708,0.0006,0.0001,0.0001,0.3700,0.0001,200,0.3507
0.3710,0.0007,0.0001,0.0001,0.3700,0.0002,200,0.3690
0.3712,0.0006,0.0001,0.0001,0.3703,0.0002,200,0.3874
0.3710,0.0006,0.0001,0.0001,0.3701,0.0001,200,0.4061
0.3711,0.0005,0.0001,0.0001,0.3703,0.0002,200,0.4246
0.3712,0.0006,0.0001,0.0001,0.3703,0.0002,200,0.4434
0.3709,0.0006,0.0001,0.0001,0.3700,0.0001,200,0.4619
0.3708,0.0007,0.0001,0.0001,0.3698,0.0002,200,0.4804
0.3705,0.0006,0.0001,0.0001,0.3696,0.0001,200,0.4989
0.3706,0.0007,0.0001,0.0001,0.3696,0.0002,200,0.5175
0.3706,0.0006,0.0001,0.0001,0.3698,0.0001,200,0.5361
0.3705,0.0005,0.0001,0.0001,0.3697,0.0001,200,0.5546
0.3704,0.0007,0.0001,0.0001,0.3695,0.0001,200,0.5734
0.3705,0.0006,0.0001,0.0001,0.3697,0.0001,200,0.5917
0.3703,0.0006,0.0001,0.0001,0.3695,0.0001,200,0.6102
0.3705,0.0005,0.0001,0.0001,0.3698,0.0001,200,0.6286
0.3705,0.0006,0.0001,0.0001,0.3696,0.0002,200,0.6474
0.3704,0.0006,0.0001,0.0001,0.3695,0.0002,200,0.6660
0.3703,0.0007,0.0001,0.0001,0.3694,0.0001,200,0.6846
0.3703,0.0007,0.0001,0.0001,0.3693,0.0002,200,0.7032
0.3705,0.0007,0.0001,0.0001,0.3695,0.0001,200,0.7215
0.3706,0.0006,0.0001,0.0001,0.3698,0.0001,200,0.7400
0.3705,0.0006,0.0001,0.0001,0.3696,0.0001,200,0.7587
0.3705,0.0006,0.0001,0.0001,0.3697,0.0001,200,0.7771
0.3705,0.0007,0.0001,0.0001,0.3695,0.0002,200,0.7957
0.3700,0.0006,0.0001,0.0001,0.3691,0.0002,200,0.8145
0.3702,0.0006,0.0001,0.0001,0.3693,0.0001,200,0.8328
0.3701,0.0005,0.0001,0.0001,0.3693,0.0001,200,0.8512
0.3703,0.0006,0.0001,0.0001,0.3694,0.0001,200,0.8695
0.3703,0.0007,0.0001,0.0001,0.3693,0.0001,200,0.8881
0.3702,0.0006,0.0001,0.0001,0.3694,0.0001,200,0.9067
0.3700,0.0006,0.0001,0.0001,0.3692,0.0001,200,0.9251
0.3697,0.0007,0.0001,0.0001,0.3687,0.0002,200,0.9438
0.3696,0.0005,0.0001,0.0001,0.3688,0.0001,200,0.9622
0.3698,0.0006,0.0001,0.0001,0.3689,0.0002,200,0.9805
0.3698,0.0006,0.0001,0.0001,0.3689,0.0001,200,0.9991
0.3697,0.0005,0.0001,0.0001,0.3689,0.0001,200,1.0178
0.3696,0.0006,0.0001,0.0001,0.3687,0.0001,200,1.0363
0.3693,0.0006,0.0001,0.0001,0.3684,0.0001,200,1.0549
0.3692,0.0005,0.0001,0.0001,0.3684,0.0001,200,1.0735
0.3694,0.0006,0.0001,0.0001,0.3685,0.0001,200,1.0920
