[Sun May 29 2022 21:38:42 GMT-0400 (Eastern Daylight Time)] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Sun May 29 2022 21:38:47 GMT-0400 (Eastern Daylight Time)] INFO Requests: 50, requests per second: 10, mean latency: 11 ms
[Sun May 29 2022 21:38:52 GMT-0400 (Eastern Daylight Time)] INFO Requests: 100, requests per second: 10, mean latency: 9.1 ms
[Sun May 29 2022 21:38:57 GMT-0400 (Eastern Daylight Time)] INFO Requests: 150, requests per second: 10, mean latency: 8.2 ms
[Sun May 29 2022 21:39:02 GMT-0400 (Eastern Daylight Time)] INFO Requests: 200, requests per second: 10, mean latency: 8.6 ms
[Sun May 29 2022 21:39:07 GMT-0400 (Eastern Daylight Time)] INFO Requests: 250, requests per second: 10, mean latency: 9.7 ms
[Sun May 29 2022 21:39:12 GMT-0400 (Eastern Daylight Time)] INFO Requests: 300, requests per second: 10, mean latency: 9.7 ms
[Sun May 29 2022 21:39:17 GMT-0400 (Eastern Daylight Time)] INFO Requests: 350, requests per second: 10, mean latency: 9.6 ms
[Sun May 29 2022 21:39:22 GMT-0400 (Eastern Daylight Time)] INFO Requests: 400, requests per second: 10, mean latency: 9.3 ms
[Sun May 29 2022 21:39:27 GMT-0400 (Eastern Daylight Time)] INFO Requests: 450, requests per second: 10, mean latency: 9.5 ms
[Sun May 29 2022 21:39:32 GMT-0400 (Eastern Daylight Time)] INFO Requests: 500, requests per second: 10, mean latency: 9.4 ms
[Sun May 29 2022 21:39:37 GMT-0400 (Eastern Daylight Time)] INFO Requests: 550, requests per second: 10, mean latency: 9.2 ms
[Sun May 29 2022 21:39:42 GMT-0400 (Eastern Daylight Time)] INFO Requests: 600, requests per second: 10, mean latency: 8.9 ms
[Sun May 29 2022 21:39:47 GMT-0400 (Eastern Daylight Time)] INFO Requests: 650, requests per second: 10, mean latency: 9.4 ms
[Sun May 29 2022 21:39:52 GMT-0400 (Eastern Daylight Time)] INFO Requests: 700, requests per second: 10, mean latency: 9.3 ms
[Sun May 29 2022 21:39:57 GMT-0400 (Eastern Daylight Time)] INFO Requests: 750, requests per second: 10, mean latency: 9.3 ms
[Sun May 29 2022 21:40:02 GMT-0400 (Eastern Daylight Time)] INFO Requests: 800, requests per second: 10, mean latency: 8.3 ms
[Sun May 29 2022 21:40:07 GMT-0400 (Eastern Daylight Time)] INFO Requests: 850, requests per second: 10, mean latency: 7.6 ms
[Sun May 29 2022 21:40:12 GMT-0400 (Eastern Daylight Time)] INFO Requests: 900, requests per second: 10, mean latency: 6.2 ms
[Sun May 29 2022 21:40:17 GMT-0400 (Eastern Daylight Time)] INFO Requests: 950, requests per second: 10, mean latency: 7.8 ms
[Sun May 29 2022 21:40:22 GMT-0400 (Eastern Daylight Time)] INFO Requests: 1000, requests per second: 10, mean latency: 9.5 ms
